,nid,jid,FullName,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
0,1394646,3563,Leslie Joyce Abrams  ,Abrams,Leslie,Joyce, ,,,1974,Madison,WI,,,, , ,Female,African American,U.S. District Court,U.S. District Court for the Middle District of Georgia,Judge,Barack Obama,Democratic,,,Qualified,GAMD0402, ,,3/11/2014,3/11/2014,5/13/2014,Reported (favorably),6/19/2014,Roll Call, 100/0,11/18/2014,11/20/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brown University,B.A.,1997,Yale Law School,J.D.,2002,,,,,,,,,,"Law clerk, Hon. Marvin J. Garbis, U.S. District Court, District of Maryland, 2002-2003; Private practice, Washington, D.C., 2003-2006, 2007-2010; Private practice, Atlanta, Georgia, 2006-2007; Assistant U.S. attorney, Northern District of Georgia, 2010-2014",
1,1393931,3419,Ronnie Abrams  ,Abrams,Ronnie, , ,,,1968,New York,NY,,,, , ,Female,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYSD2704, ,,7/28/2011,7/28/2011,10/4/2011,Reported (favorably),11/3/2011,Roll Call, 96/2,3/22/2012,3/23/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,B.A.,1990,Yale Law School,J.D.,1993,,,,,,,,,,"Law clerk, Hon. Thomas P. Griesa, U.S. District Court, Southern District of New York, 1993-1994; Private practice, New York City, 1994-1998, 2008-2012; Assistant U.S. attorney, Southern District of New York, 1998-2008; acting chief, General Crimes Unit, 2004-2005; chief, General Crimes Unit, 2005-2007; deputy chief, Criminal Division, 2007-2008; Lecturer-in-law, Columbia University School of Law, 2008-",
2,1376976,1,Matthew T. Abruzzo  ,Abruzzo,Matthew,T., ,4.0,30.0,1889,Brooklyn,NY,5.0,28.0,1971.0,Potomac,MD,Male,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Franklin D. Roosevelt,Democratic,,,,NYED0601,49 Stat. 659,,2/3/1936,2/3/1936,,Reported (favorably),2/11/1936,Voice,  ,2/12/1936,2/15/1936,,,,,2/15/1966,Death,5/28/1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Law School,LL.B.,1910,,,,,,,,,,,,,"Private practice, Brooklyn, New York, 1910-1936",
3,1376981,2,Marcus Wilson Acheson  ,Acheson,Marcus,Wilson, ,6.0,7.0,1828,Washington,PA,6.0,21.0,1906.0,Pittsburgh,PA,Male,White,U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,Rutherford B. Hayes,Republican,,,,PAWD0106, ,,1880-01-06,1880-01-07,,Reported (favorably),1880-01-14,Voice,  ,1880-01-14,1880-01-14,,,,,,Appointment to Another Judicial Position,1891-02-09,U.S. Circuit Court (1869-1911),U.S. Circuit Courts for the Third Circuit,Judge,Benjamin Harrison,Republican,,,,1869CC30102, ,,1891-01-23,1891-01-24,,Reported (favorably),1891-02-03,Voice,  ,1891-02-03,1891-02-03,,,,,,Death,6/21/1906,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,None (assignment),None (assignment),,,,CA30101,26 Stat. 826,,,,,,,,  ,,1891-06-16,,,,,,Death,6/21/1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington College (now Washington and Jefferson College),B.A.,1845,Read law,,1852,,,,,,,,,,"Private practice, Pittsburgh, Pennsylvania, 1852-1880",
4,1376986,3,William Marsh Acker Jr.,Acker,William,Marsh,Jr.,10.0,25.0,1927,Birmingham,AL,6.0,21.0,2018.0, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Alabama,Judge,Ronald Reagan,Republican,,,Qualified,ALND0404, ,,7/22/1982,7/22/1982,8/11/1982,Reported (favorably),8/17/1982,Voice,  ,8/18/1982,8/18/1982,,,,,5/31/1996,Death,6/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham-Southern College,B.A.,1949,Yale Law School,LL.B.,1952,,,,,,,,,,"U.S. Army private first class, 1946-1947; Private practice, Birmingham, Alabama, 1952-1982",
5,1376991,4,Harold Arnold Ackerman  ,Ackerman,Harold,Arnold, ,2.0,15.0,1928,Newark,NJ,12.0,2.0,2009.0,West Orange,NJ,Male,White,U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Jimmy Carter,Democratic,,,Well Qualified,NJD0505, ,,9/28/1979,9/28/1979,10/25/1979,Reported (favorably),10/30/1979,Voice,  ,10/31/1979,11/2/1979,,,,,2/15/1994,Death,12/2/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,LL.B.,1951,,,,,,,,,,,,,"Private practice, New Jersey, 1951-1954; Judge, Compensation Court of the State of New Jersey, 1955-1965; Judge, Union County [New Jersey] District Court, 1965-1970; Judge, Union County [New Jersey] Court, 1970-1973; Judge, Superior Court of New Jersey, 1973-1979; Law Division, 1973-1975; Chancery Division, General Equity, 1975-1979",
6,1376996,5,James Waldo Ackerman  ,Ackerman,James,Waldo, ,1.0,1.0,1926,Jacksonville,FL,11.0,23.0,1984.0,Springfield,IL,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,Gerald Ford,Republican,,,Well Qualified,ILSD0204, ,,6/18/1976,6/18/1976,6/30/1976,Reported (favorably),6/30/1976,Voice,  ,7/2/1976,7/2/1976,,,,,,Reassignment,3/31/1979,U.S. District Court,U.S. District Court for the Central District of Illinois,Judge,None (reassignment),None (reassignment),,,,ILCD0201,93 Stat. 6,,,,,,,,  ,,3/31/1979,1982.0,1984.0,,,,Death,11/23/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquette University,B.S.,1947,Marquette University Law School,J.D.,1949,,,,,,,,,,"Private practice, Sangamon County, Illinois, 1949-1952; U.S. Navy, 1944-1946, 1952-1954; Assistant state's attorney, Sangamon County, Illinois, 1954-1956; State's attorney, Sangamon County, Illinois, 1956-1960; Private practice, Sangamon County, Illinois, 1960-1971; Corporation counsel, Springfield, Illinois, 1961-1962; Assistant treasurer, State of Illinois, 1963-1964; Deputy attorney general, State of Illinois, 1968-1971; Judge, Illinois Circuit Court, Seventh Judicial Circuit, 1971-1976",
7,1377001,6,Raymond L. Acosta  ,Acosta,Raymond,L., ,5.0,31.0,1925,New York,NY,12.0,23.0,2014.0,Chapin,SC,Male,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Ronald Reagan,Republican,,,Qualified,PRD0302, ,,9/9/1982,9/9/1982,9/22/1982,Reported (favorably),9/28/1982,Voice,  ,9/29/1982,9/30/1982,,,,,6/1/1994,Death,12/23/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,J.D.,1951,,,,,,,,,,,,,"Private practice, Hackensack, New Jersey, 1953-1954; Special agent, Federal Bureau of Investigation, San Diego, California, Washington, D.C., and Miami, Florida, 1954-1958; Assistant U.S. attorney, District of Puerto Rico, 1958-1961; Private practice, San Juan, Puerto Rico, 1962-1980; U.S. attorney for the District of Puerto Rico, 1980-1982",
8,1377006,7,J[ackson] Leroy Adair  ,Adair,J[ackson],Leroy, ,2.0,23.0,1887,Clayton,IL,1.0,19.0,1956.0, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,Franklin D. Roosevelt,Democratic,,,,ILSD0106, ,,3/24/1937,3/24/1937,,Reported (favorably),4/19/1937,Voice,  ,4/20/1937,4/27/1937,,,,,,Death,1/19/1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan Law School,LL.B.,1911,,,,,,,,,,,,,"Private practice, Muskogee, Oklahoma, 1912-1914; City attorney, Quincy, Illinois, 1915-1916; State's attorney, Adams County, Illinois, 1916-1920, 1924-1928; Private practice, Adams County, Illinois, 1920-1924; State senator, Illinois, 1928-1932; U.S. representative from Illinois, 1933-1937",
9,1377011,8,Arlin Marvin Adams  ,Adams,Arlin,Marvin, ,4.0,16.0,1921,Philadelphia,PA,12.0,22.0,2015.0,Philadelphia,PA,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,Richard M. Nixon,Republican,,,Exceptionally Well Qualified,CA30208, ,,9/22/1969,9/22/1969,,Reported (favorably),10/1/1969,Voice,  ,10/1/1969,10/2/1969,,,,,,Retirement,1/2/1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temple University,B.S.,1941,University of Pennsylvania Law School (now Carey Law School),LL.B.,1947,Temple University,M.A.,1950,,,,,,,"Private practice, Philadelphia, Pennsylvania, 1947-1969; Faculty, American Institute of Banking, 1949-1952; Faculty, University of Pennsylvania, 1952-1956; Secretary of public welfare, Commonwealth of Pennsylvania, 1963-1966; Board member, Federal Judicial Center, 1985-1987; Private practice, Philadelphia, Pennsylvania, 1987-",
