abbreviation,name,circuit,citation_abbreviation,state,cardinal,courtname,homepage,start_date,end_date,count,jurisdiction
dcd,"District Court, District of Columbia",District of Columbia,D.D.C.,District of Columbia,,district-of-columbia,http://www.dcd.uscou…,Unknown,Unknown,30822.0,Federal District
ald,"District Court, D. Alabama",,D. Ala.,Alabama,,alabama,,1820-04-21,1824-03-10,0.0,Federal District
almd,"District Court, M.D. Alabama",Eleventh,M.D. Ala.,Alabama,Middle,middle-alabama,http://www.almd.usco…,Unknown,Unknown,2266.0,Federal District
alnd,"District Court, N.D. Alabama",Eleventh,N.D. Ala.,Alabama,Northern,northern-alabama,http://www.alnd.usco…,Unknown,Unknown,1247.0,Federal District
alsd,"District Court, S.D. Alabama",Eleventh,S.D. Ala.,Alabama,Southern,southern-alabama,http://www.als.uscou…,Unknown,Unknown,724.0,Federal District
akd,"District Court, D. Alaska",Ninth,D. Alaska,Alaska,,alaska,http://www.akd.uscou…,Unknown,Unknown,444.0,Federal District
azd,"District Court, D. Arizona",Ninth,D. Ariz.,Arizona,,arizona,http://www.azd.uscou…,Unknown,Unknown,1286.0,Federal District
ared,"District Court, E.D. Arkansas",Eighth,E.D. Ark.,Arkansas,Eastern,eastern-arkansas,http://www.are.uscou…,Unknown,Unknown,1190.0,Federal District
arwd,"District Court, W.D. Arkansas",Eighth,W.D. Ark.,Arkansas,Western,western-arkansas,http://www.arwd.usco…,Unknown,Unknown,810.0,Federal District
cacd,"District Court, C.D. California",Ninth,C.D. Cal.,California,Central,central-california,http://www.cacd.usco…,Unknown,Unknown,3246.0,Federal District
caed,"District Court, E.D. California",Ninth,E.D. Cal.,California,Eastern,eastern-california,http://www.caed.usco…,Unknown,Unknown,1258.0,Federal District
cand,"District Court, N.D. California",Ninth,N.D. Cal.,California,Northern,northern-california,http://www.cand.usco…,Unknown,Unknown,4669.0,Federal District
casd,"District Court, S.D. California",Ninth,S.D. Cal.,California,Southern,southern-california,http://www.casd.usco…,Unknown,Unknown,1725.0,Federal District
cod,"District Court, D. Colorado",Tenth,D. Colo.,Colorado,,colorado,http://www.cod.uscou…,Unknown,Unknown,3237.0,Federal District
ctd,"District Court, D. Connecticut",Second,D. Conn.,Connecticut,,connecticut,http://www.ctd.uscou…,Unknown,Unknown,4495.0,Federal District
ded,"District Court, D. Delaware",Third,D. Del.,Delaware,,delaware,http://www.ded.uscou…,Unknown,Unknown,3748.0,Federal District
flmd,"District Court, M.D. Florida",Eleventh,M.D. Fla.,Florida,Middle,middle-florida,http://www.flmd.usco…,Unknown,Unknown,2998.0,Federal District
flnd,"District Court, N.D. Florida",Eleventh,N.D. Fla.,Florida,Northern,northern-florida,http://www.flnd.usco…,Unknown,Unknown,536.0,Federal District
flsd,"District Court, S.D. Florida",Eleventh,S.D. Fla.,Florida,Southern,southern-florida,http://www.flsd.usco…,Unknown,Unknown,4193.0,Federal District
gamd,"District Court, M.D. Georgia",Eleventh,M.D. Ga.,Georgia,Middle,middle-georgia,http://www.gamd.usco…,Unknown,Unknown,837.0,Federal District
gand,"District Court, N.D. Georgia",Eleventh,N.D. Ga.,Georgia,Northern,northern-georgia,http://www.gand.usco…,Unknown,Unknown,2814.0,Federal District
gasd,"District Court, S.D. Georgia",Eleventh,S.D. Ga.,Georgia,Southern,southern-georgia,http://www.gasd.usco…,Unknown,Unknown,771.0,Federal District
hid,"District Court, D. Hawaii",Ninth,D. Haw.,Hawaii,,hawaii,http://www.hid.uscou…,Unknown,Unknown,1321.0,Federal District
idd,"District Court, D. Idaho",Ninth,D. Idaho,Idaho,,idaho,http://www.id.uscour…,Unknown,Unknown,430.0,Federal District
ilcd,"District Court, C.D. Illinois",Seventh,C.D. Ill.,Illinois,Central,central-illinois,http://www.ilcd.usco…,Unknown,Unknown,1029.0,Federal District
ilnd,"District Court, N.D. Illinois",Seventh,N.D. Ill.,Illinois,Northern,northern-illinois,http://www.ilnd.usco…,Unknown,Unknown,12460.0,Federal District
ilsd,"District Court, S.D. Illinois",Seventh,S.D. Ill.,Illinois,Southern,southern-illinois,http://www.ilsd.usco…,Unknown,Unknown,505.0,Federal District
innd,"District Court, N.D. Indiana",Seventh,N.D. Ind.,Indiana,Northern,northern-indiana,http://www.innd.usco…,4/21/2028,Unknown,1829.0,Federal District
insd,"District Court, S.D. Indiana",Seventh,S.D. Ind.,Indiana,Southern,southern-indiana,http://www.insd.usco…,4/21/2028,Unknown,1387.0,Federal District
indianad,"District Court, D. Indiana",,D. Ind.,Indiana,,indiana,http://www.insd.usco…,1817-03-03,4/21/2028,3.0,Federal District
iand,"District Court, N.D. Iowa",Eighth,N.D. Iowa,Iowa,Northern,northern-iowa,http://www.iand.usco…,Unknown,Unknown,1230.0,Federal District
iasd,"District Court, S.D. Iowa",Eighth,S.D. Iowa,Iowa,Southern,southern-iowa,http://www.iasd.usco…,Unknown,Unknown,1165.0,Federal District
ksd,"District Court, D. Kansas",Tenth,D. Kan.,Kansas,,kansas,http://www.ksd.uscou…,Unknown,Unknown,4748.0,Federal District
kyed,"District Court, E.D. Kentucky",Sixth,E.D. Ky.,Kentucky,Eastern,eastern-kentucky,http://www.kyed.usco…,Unknown,Unknown,863.0,Federal District
kywd,"District Court, W.D. Kentucky",Sixth,W.D. Ky.,Kentucky,Western,western-kentucky,http://www.kywd.usco…,Unknown,Unknown,1011.0,Federal District
laed,"District Court, E.D. Louisiana.",Fifth,E.D. La.,Louisiana,Eastern,eastern-louisiana,http://www.laed.usco…,Unknown,Unknown,2763.0,Federal District
